region,land_type,road_access,utilities,area_sqft,distance_to_city_km,infrastructure_score,development_potential,price
Ahmedabad,Commercial,Secondary_Road,Fully_Connected,5170,3.2,3.1,6.5,7298000
Pune,Commercial,Interior_Road,Fully_Connected,5180,14.0,6.3,5.8,7530000
Kochi,Industrial,Interior_Road,Partial,11900,2.6,4.1,5.1,6383000
Noida_NCR,Agricultural,Interior_Road,Fully_Connected,26420,59.5,4.8,6.3,10242000
Bangalore_North,Residential,Interior_Road,Not_Connected,1740,1.4,7.9,6.2,1548000
Bhopal,Residential,Main_Road,Fully_Connected,1510,0.7,2.6,3.7,511000
Ahmedabad,Agricultural,Secondary_Road,Fully_Connected,41950,8.9,4.8,5.0,20374000
Ahmedabad,Commercial,Main_Road,Fully_Connected,5280,1.9,4.9,4.7,11410000
Bangalore_North,Residential,Main_Road,Fully_Connected,8210,8.1,6.6,6.0,19317000
Pune,Commercial,No_Road,Fully_Connected,9820,28.7,6.2,8.0,10531000
Hyderabad,Agricultural,Interior_Road,Partial,63490,9.0,4.5,4.3,30856000
Indore,Industrial,No_Road,Fully_Connected,11040,0.5,5.2,6.5,3532000
Noida_NCR,Commercial,Secondary_Road,Partial,7350,74.1,5.1,6.0,3727000
Kochi,Residential,Secondary_Road,Not_Connected,5060,1.7,4.6,3.1,2059000
Pune,Residential,Secondary_Road,Partial,6370,13.4,5.1,6.3,5908000
Bangalore_South,Commercial,Main_Road,Partial,7490,16.5,6.0,4.1,16568000
Chennai,Residential,Main_Road,Fully_Connected,8070,7.9,5.6,6.9,11494000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,8040,0.5,7.2,6.3,39305000
Kochi,Agricultural,Main_Road,Fully_Connected,102060,7.0,5.3,5.7,30427000
Noida_NCR,Residential,No_Road,Not_Connected,2910,6.5,5.4,3.8,1093000
Ahmedabad,Residential,Main_Road,Partial,1230,19.8,5.6,6.1,615000
Hyderabad,Residential,Main_Road,Fully_Connected,4760,1.1,7.9,8.9,8646000
Bhopal,Industrial,Interior_Road,Fully_Connected,35730,15.8,3.8,3.4,9716000
Indore,Agricultural,Main_Road,Not_Connected,83920,12.6,2.3,2.7,13374000
Ahmedabad,Residential,No_Road,Partial,5260,19.3,4.3,5.7,1650000
Bangalore_South,Industrial,Interior_Road,Partial,15130,23.7,5.5,6.6,13741000
Pune,Commercial,Main_Road,Not_Connected,4550,48.4,2.5,1.0,2448000
Bangalore_North,Commercial,Interior_Road,Partial,11770,2.5,6.0,9.2,41920000
Bangalore_South,Mixed,Secondary_Road,Partial,7920,1.7,4.4,5.9,12249000
Noida_NCR,Residential,Interior_Road,Fully_Connected,2780,1.6,7.5,8.3,4953000
Ahmedabad,Residential,Interior_Road,Fully_Connected,8230,12.9,4.9,5.2,7085000
Bhopal,Commercial,Interior_Road,Not_Connected,4310,1.3,2.2,1.0,1118000
Hyderabad,Residential,Secondary_Road,Partial,2740,16.1,6.3,7.4,3413000
Hyderabad,Agricultural,Main_Road,Fully_Connected,218070,17.5,5.7,5.1,139665000
Pune,Residential,Interior_Road,Partial,7030,2.0,6.4,7.3,5402000
Bangalore_South,Residential,No_Road,Fully_Connected,3170,35.1,4.3,4.7,2028000
Bangalore_North,Residential,Secondary_Road,Not_Connected,4820,9.2,5.2,6.0,5089000
Pune,Commercial,Interior_Road,Fully_Connected,8920,19.9,4.1,3.7,9880000
Bangalore_South,Residential,Secondary_Road,Partial,670,24.7,4.5,6.4,632000
Noida_NCR,Residential,Interior_Road,Partial,2220,3.9,6.7,4.9,3052000
Pune,Industrial,No_Road,Fully_Connected,19200,40.0,4.4,8.4,7430000
Kochi,Residential,Main_Road,Fully_Connected,3170,3.7,4.5,8.5,2661000
Noida_NCR,Residential,Main_Road,Partial,4700,70.6,3.5,6.9,2897000
Hyderabad,Residential,Secondary_Road,Fully_Connected,8330,2.1,6.0,8.1,18559000
Kochi,Residential,Secondary_Road,Fully_Connected,3250,0.5,7.9,7.4,2776000
Ahmedabad,Residential,Secondary_Road,Partial,2010,3.4,4.1,6.6,1368000
Hyderabad,Agricultural,Main_Road,Fully_Connected,66980,13.3,5.3,5.6,47332000
Hyderabad,Residential,Secondary_Road,Fully_Connected,3230,16.3,9.8,6.5,5568000
Noida_NCR,Industrial,Secondary_Road,Fully_Connected,17650,22.8,6.4,8.7,28372000
Bangalore_North,Mixed,Secondary_Road,Not_Connected,4960,19.4,4.1,6.6,6139000
Bangalore_South,Residential,Interior_Road,Fully_Connected,17180,8.3,6.9,6.8,24246000
Bangalore_North,Residential,Interior_Road,Fully_Connected,930,27.0,4.3,3.2,964000
Ahmedabad,Residential,Secondary_Road,Fully_Connected,3110,1.2,6.2,5.5,3334000
Noida_NCR,Agricultural,Interior_Road,Fully_Connected,49830,0.7,6.5,3.8,38081000
Noida_NCR,Residential,Secondary_Road,Fully_Connected,2410,2.9,6.2,7.8,3984000
Ahmedabad,Industrial,Secondary_Road,Fully_Connected,41080,2.5,7.0,4.5,44245000
Pune,Agricultural,Secondary_Road,Fully_Connected,103950,8.7,6.2,6.8,65239000
Chennai,Industrial,Main_Road,Fully_Connected,19250,16.5,6.0,4.9,28257000
Bangalore_North,Commercial,Main_Road,Not_Connected,6620,80.0,3.8,2.5,4529000
Bangalore_North,Mixed,Secondary_Road,Fully_Connected,5580,5.7,5.7,6.3,13494000
Noida_NCR,Residential,Interior_Road,Fully_Connected,3740,19.8,6.8,6.3,5298000
Pune,Commercial,Interior_Road,Not_Connected,7570,2.8,7.2,8.3,14840000
Chennai,Residential,Main_Road,Not_Connected,3540,1.0,5.6,4.0,3923000
Ahmedabad,Mixed,Secondary_Road,Partial,7070,0.5,7.3,6.0,6878000
Noida_NCR,Commercial,Main_Road,Fully_Connected,13550,28.4,6.7,3.1,30381000
Chennai,Industrial,Interior_Road,Fully_Connected,7470,70.8,2.9,1.0,2083000
Chennai,Residential,Interior_Road,Fully_Connected,2020,48.6,3.9,7.4,931000
Hyderabad,Mixed,Secondary_Road,Fully_Connected,1930,12.6,6.2,9.5,3682000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,14670,1.0,5.0,5.6,69217000
Pune,Commercial,Main_Road,Partial,9530,3.3,5.6,4.7,32450000
Bangalore_South,Mixed,Secondary_Road,Fully_Connected,8330,34.9,5.0,5.1,13317000
Pune,Residential,Interior_Road,Partial,1580,4.5,5.2,7.0,1643000
Kochi,Residential,Interior_Road,Fully_Connected,12760,10.5,4.9,4.7,5839000
Bangalore_South,Commercial,Secondary_Road,Fully_Connected,5220,7.9,5.9,6.5,13671000
Bangalore_North,Residential,Secondary_Road,Partial,4460,15.7,6.8,6.7,6971000
Hyderabad,Residential,Main_Road,Not_Connected,6970,35.8,5.9,5.3,4527000
Hyderabad,Residential,Main_Road,Fully_Connected,2110,12.8,6.2,5.6,4316000
Noida_NCR,Residential,Main_Road,Partial,2800,80.0,2.0,3.8,906000
Chennai,Industrial,Secondary_Road,Fully_Connected,23080,8.3,7.3,5.6,26720000
Ahmedabad,Commercial,No_Road,Fully_Connected,59130,8.0,4.7,6.0,50800000
Noida_NCR,Residential,Secondary_Road,Partial,4860,14.7,6.1,5.6,8037000
Pune,Commercial,Main_Road,Fully_Connected,24630,1.1,5.4,6.0,100732000
Kochi,Commercial,Main_Road,Fully_Connected,18600,19.6,3.5,6.5,13516000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,69630,10.5,7.6,7.1,70797000
Bangalore_North,Mixed,Interior_Road,Fully_Connected,3150,26.2,7.1,8.3,5829000
Bangalore_North,Mixed,Secondary_Road,Fully_Connected,11950,16.9,6.4,3.8,25590000
Ahmedabad,Residential,Interior_Road,Fully_Connected,1510,15.8,4.4,4.4,772000
Pune,Residential,Interior_Road,Not_Connected,11320,17.7,5.9,6.2,6312000
Bangalore_South,Commercial,Main_Road,Partial,9200,6.4,6.0,9.1,33329000
Pune,Commercial,Secondary_Road,Fully_Connected,1250,28.8,4.5,2.2,1734000
Bangalore_South,Commercial,No_Road,Fully_Connected,6300,0.5,6.6,6.5,11655000
Noida_NCR,Agricultural,Secondary_Road,Partial,90070,1.6,6.2,8.5,108393000
Pune,Commercial,Main_Road,Fully_Connected,6780,23.9,5.2,4.5,12324000
Hyderabad,Residential,No_Road,Partial,6370,60.1,4.3,4.7,1854000
Hyderabad,Residential,Interior_Road,Partial,2300,6.3,7.0,7.4,3233000
Noida_NCR,Residential,Secondary_Road,Fully_Connected,1710,3.4,5.9,6.4,3366000
Hyderabad,Residential,Secondary_Road,Fully_Connected,3820,14.6,6.8,9.1,6515000
Bangalore_North,Residential,Main_Road,Fully_Connected,4080,3.2,5.3,6.4,8929000
Bangalore_North,Agricultural,Interior_Road,Fully_Connected,36540,0.6,5.8,8.1,28115000
Bhopal,Residential,Secondary_Road,Fully_Connected,8880,8.1,3.3,3.8,3335000
Indore,Residential,Main_Road,Not_Connected,2300,1.3,3.2,3.1,917000
Noida_NCR,Commercial,Interior_Road,Fully_Connected,9960,20.6,7.2,6.7,23980000
Bangalore_South,Agricultural,No_Road,Partial,53150,10.0,4.6,3.5,18622000
Bhopal,Residential,Interior_Road,Partial,1450,31.8,2.1,4.2,215000
Ahmedabad,Industrial,Main_Road,Fully_Connected,6960,14.9,6.1,5.7,7681000
Noida_NCR,Mixed,Main_Road,Fully_Connected,6050,27.0,5.1,4.6,13903000
Pune,Commercial,No_Road,Fully_Connected,32020,11.3,5.2,6.4,37293000
Hyderabad,Agricultural,No_Road,Partial,84210,22.9,4.4,3.4,23746000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,1300,36.5,6.0,7.4,1490000
Indore,Mixed,Secondary_Road,Partial,790,8.1,5.2,4.9,318000
Pune,Residential,Secondary_Road,Not_Connected,6440,12.1,6.3,8.1,5125000
Bangalore_South,Mixed,Secondary_Road,Partial,5640,3.9,6.7,6.1,11754000
Hyderabad,Commercial,Main_Road,Not_Connected,17780,0.6,6.6,7.6,45225000
Chennai,Residential,Main_Road,Partial,2260,5.8,4.7,5.6,2575000
Bangalore_South,Residential,Main_Road,Not_Connected,5020,16.1,4.6,6.3,5805000
Kochi,Agricultural,Interior_Road,Not_Connected,107080,17.5,5.7,6.2,9007000
Ahmedabad,Commercial,Main_Road,Partial,5850,12.1,5.6,3.4,6983000
Noida_NCR,Residential,Main_Road,Partial,3030,61.4,3.5,6.0,1511000
Pune,Agricultural,Secondary_Road,Not_Connected,51150,17.6,5.2,5.5,16747000
Noida_NCR,Industrial,Main_Road,Fully_Connected,30870,38.8,4.9,6.6,44876000
Chennai,Commercial,Main_Road,Partial,7920,80.0,1.0,3.7,2862000
Noida_NCR,Commercial,Secondary_Road,Partial,15820,51.7,5.0,4.3,16190000
Bangalore_North,Residential,Secondary_Road,Not_Connected,2960,65.7,3.4,3.0,1195000
Pune,Industrial,Secondary_Road,Fully_Connected,6910,9.6,4.3,6.0,8946000
Bangalore_North,Residential,No_Road,Partial,14460,3.9,4.6,4.8,18248000
Pune,Industrial,Main_Road,Partial,12330,7.8,3.7,6.0,17618000
Hyderabad,Residential,No_Road,Not_Connected,2760,1.9,6.0,5.9,1129000
Bangalore_South,Commercial,No_Road,Fully_Connected,7640,2.7,6.0,7.7,16010000
Bangalore_North,Residential,Interior_Road,Partial,4180,0.5,5.4,6.4,5969000
Chennai,Residential,Secondary_Road,Partial,3110,0.5,6.3,6.8,3496000
Bangalore_South,Agricultural,Secondary_Road,Not_Connected,49220,51.0,4.1,4.3,13634000
Indore,Commercial,Secondary_Road,Not_Connected,7780,41.8,3.6,4.9,1756000
Chennai,Commercial,Interior_Road,Partial,9040,20.1,4.5,6.9,9773000
Hyderabad,Mixed,Main_Road,Partial,1300,19.0,4.8,5.3,3078000
Chennai,Mixed,No_Road,Fully_Connected,20380,12.2,5.2,6.4,17255000
Bangalore_North,Industrial,Secondary_Road,Not_Connected,17780,80.0,1.8,3.3,3716000
Bhopal,Residential,Interior_Road,Fully_Connected,5830,4.7,4.7,5.5,2095000
Pune,Commercial,Secondary_Road,Partial,3050,27.4,3.6,7.1,3177000
Ahmedabad,Industrial,Main_Road,Partial,13720,4.9,6.1,8.1,10471000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,2580,6.2,5.8,6.2,4782000
Pune,Residential,Secondary_Road,Fully_Connected,10400,22.1,6.2,6.7,12376000
Pune,Industrial,Secondary_Road,Fully_Connected,12520,26.1,3.5,3.4,12798000
Indore,Commercial,Main_Road,Not_Connected,13600,1.5,3.7,4.3,8315000
Chennai,Commercial,Main_Road,Partial,5070,19.3,5.2,6.1,6732000
Pune,Mixed,Secondary_Road,Fully_Connected,4470,18.2,6.5,7.8,5498000
Bangalore_South,Agricultural,Secondary_Road,Partial,40090,4.8,8.0,8.7,33108000
Hyderabad,Commercial,No_Road,Fully_Connected,19650,56.3,4.3,3.3,12746000
Chennai,Residential,Main_Road,Not_Connected,1170,12.2,7.2,8.5,967000
Pune,Commercial,Main_Road,Fully_Connected,3190,7.6,5.2,5.5,9766000
Bangalore_North,Residential,Main_Road,Fully_Connected,1130,9.1,7.5,5.8,2960000
Kochi,Industrial,Secondary_Road,Fully_Connected,8380,5.1,3.5,6.5,5688000
Indore,Industrial,Secondary_Road,Partial,10450,0.6,5.0,7.7,4351000
Bangalore_South,Residential,Secondary_Road,Fully_Connected,1400,30.7,2.1,3.9,1431000
Chennai,Residential,No_Road,Partial,2480,53.3,2.0,4.5,554000
Bangalore_North,Industrial,Main_Road,Fully_Connected,3990,47.3,5.2,6.8,4483000
Noida_NCR,Residential,Interior_Road,Fully_Connected,2060,10.1,4.8,7.5,2590000
Hyderabad,Commercial,Main_Road,Fully_Connected,18540,27.8,5.9,7.2,33366000
Noida_NCR,Commercial,Main_Road,Fully_Connected,10610,9.0,7.6,5.3,31656000
Ahmedabad,Agricultural,Secondary_Road,Not_Connected,59190,2.9,4.5,8.2,17297000
Ahmedabad,Residential,Main_Road,Fully_Connected,2080,8.2,3.7,6.2,1516000
Bangalore_North,Agricultural,Secondary_Road,Not_Connected,12550,10.3,5.5,5.1,5802000
Indore,Residential,Interior_Road,Fully_Connected,1910,2.4,3.3,2.8,763000
Bangalore_South,Agricultural,Interior_Road,Fully_Connected,48090,11.0,5.6,6.7,36341000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,7030,13.2,6.1,5.9,12648000
Chennai,Commercial,Secondary_Road,Fully_Connected,15050,5.3,4.9,5.9,26078000
Hyderabad,Commercial,Secondary_Road,Partial,12440,1.2,8.5,9.1,31641000
Kochi,Residential,Main_Road,Partial,2480,3.0,3.9,3.9,1558000
Ahmedabad,Residential,Main_Road,Fully_Connected,4060,37.0,5.4,4.1,2758000
Hyderabad,Residential,Interior_Road,Partial,3250,17.9,4.5,5.7,2615000
Bhopal,Residential,No_Road,Partial,3510,4.5,4.1,4.1,527000
Hyderabad,Residential,Main_Road,Not_Connected,15040,6.5,7.7,7.6,20685000
Chennai,Mixed,Secondary_Road,Not_Connected,1910,18.4,6.1,4.3,1299000
Bangalore_South,Commercial,Interior_Road,Partial,6790,4.4,5.5,5.5,12734000
Indore,Industrial,Interior_Road,Partial,52730,2.9,5.1,6.6,16218000
Bangalore_South,Mixed,Secondary_Road,Partial,2310,38.8,5.1,6.5,2526000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,2630,12.6,5.3,4.5,3980000
Pune,Agricultural,Interior_Road,Partial,31060,3.0,6.5,4.8,15939000
Bhopal,Industrial,Interior_Road,Fully_Connected,16730,0.5,6.4,6.5,7439000
Indore,Agricultural,Main_Road,Partial,11890,40.4,3.5,5.3,1385000
Ahmedabad,Commercial,No_Road,Not_Connected,12140,0.5,5.9,6.7,5689000
Indore,Commercial,Main_Road,Fully_Connected,12750,8.7,5.0,4.7,10523000
Indore,Residential,Interior_Road,Not_Connected,5570,12.2,2.3,4.1,1182000
Chennai,Commercial,Main_Road,Not_Connected,4350,14.0,5.5,8.1,4361000
Hyderabad,Mixed,Main_Road,Fully_Connected,6350,10.3,4.9,5.7,15119000
Ahmedabad,Mixed,Main_Road,Partial,3340,33.2,3.2,1.8,1975000
Noida_NCR,Residential,Secondary_Road,Not_Connected,3220,45.1,7.6,7.6,1505000
Hyderabad,Agricultural,Main_Road,Not_Connected,347280,10.9,5.8,9.1,188559000
Bangalore_North,Residential,Main_Road,Fully_Connected,4260,15.0,5.0,3.6,7193000
Ahmedabad,Mixed,Secondary_Road,Fully_Connected,2770,12.4,6.1,6.3,3354000
Bangalore_South,Residential,Secondary_Road,Partial,4500,23.5,4.1,4.5,3701000
Indore,Mixed,Interior_Road,Fully_Connected,2490,2.5,3.9,4.9,1413000
Bangalore_South,Industrial,Interior_Road,Fully_Connected,7660,1.4,7.6,7.6,14554000
Bangalore_North,Residential,Interior_Road,Fully_Connected,2030,11.4,6.1,8.0,2482000
Kochi,Residential,Main_Road,Fully_Connected,3000,1.3,2.9,4.2,1721000
Bangalore_South,Industrial,Main_Road,Partial,42320,13.3,6.3,8.3,92972000
Bangalore_South,Residential,No_Road,Partial,5830,33.1,4.4,4.9,2862000
Chennai,Commercial,Main_Road,Partial,11540,10.5,7.0,6.4,20309000
Kochi,Mixed,Secondary_Road,Partial,2940,8.6,3.8,3.7,1396000
Bangalore_South,Commercial,No_Road,Fully_Connected,5480,18.8,6.7,4.0,7616000
Hyderabad,Residential,No_Road,Fully_Connected,4770,28.1,7.5,7.7,3171000
Ahmedabad,Commercial,Secondary_Road,Fully_Connected,5150,14.3,3.6,7.6,5928000
Bhopal,Residential,Interior_Road,Fully_Connected,3340,6.2,3.7,5.3,970000
Pune,Mixed,Secondary_Road,Fully_Connected,7990,9.0,6.0,7.2,17387000
